instance;base time;sum time;shortest time;all edges time
taxe_grille_10x10.txt;9.666;14.281;5.406;10.262
taxe_grille_10x5.txt;0.463;1.173;0.581;0.461
taxe_grille_10x6.txt;0.559;0.816;0.567;0.807
taxe_grille_10x7.txt;3.668;7.285;4.074;4.012
taxe_grille_10x8.txt;1.269;1.052;0.676;0.92
taxe_grille_10x9.txt;23.464;18.685;10.659;7.195
taxe_grille_2x3.txt;0.016;0.024;0.019;0.023
taxe_grille_3x4.txt;0.027;0.028;0.021;0.029
taxe_grille_4x5.txt;0.083;0.064;0.08;0.063
taxe_grille_5x6.txt;0.369;0.171;0.238;0.169
taxe_grille_6x10.txt;0.802;0.389;0.621;0.457
taxe_grille_6x11.txt;1.351;0.788;1.353;0.724
taxe_grille_6x7.txt;0.429;0.304;0.344;0.392
taxe_grille_6x8.txt;0.35;0.288;0.599;0.368
taxe_grille_6x9.txt;0.856;0.362;0.937;1.026
taxe_grille_7x10.txt;0.427;0.351;0.749;0.746
taxe_grille_7x11.txt;1.183;0.825;1.351;1.129
taxe_grille_7x8.txt;0.696;0.362;0.767;0.245
taxe_grille_7x9.txt;1.076;0.815;1.239;1.485
taxe_grille_8x10.txt;0.473;0.38;0.753;0.775
taxe_grille_8x11.txt;20.83;24.198;20.694;19.265
taxe_grille_8x12.txt;19.904;27.59;9.658;6.326
taxe_grille_8x13.txt;2.055;2.412;2.629;2.653
taxe_grille_8x14.txt;3.443;3.818;3.49;5.425
taxe_grille_8x9.txt;1.226;0.728;0.836;0.994
taxe_grille_9x10.txt;1.813;1.87;1.194;1.523
taxe_grille_9x11.txt;2.334;2.628;2.234;1.178
taxe_grille_9x12.txt;3.012;4.97;3.222;3.275
taxe_grille_9x13.txt;46.474;194.675;49.253;51.979
