instance;base_time;local_time;enhanced_time;value_PLNE;base_value;local_value;enhanced_value;base_gap;local_gap;enhanced_gap;;;
taxe_grille_10x10,txt;4.5;86,7;7,5;97;88;90;90;9,3;7,2;7,2;;;
taxe_grille_10x5,txt;0.281;6,0;0,9;136;128;128;128;5,9;5,9;5,9;;;
taxe_grille_10x6,txt;0.3;11,2;1,4;90;86;89;89;4,4;1,1;1,1;;;
taxe_grille_10x7,txt;2.559;20,4;2,2;115;97;98,48;98,48;15,7;14,4;14,4;;;
taxe_grille_10x8,txt;0.554;22,9;2,6;69;65;66;66;5,8;4,3;4,3;;;
taxe_grille_10x9,txt;15.476;30,9;3,6;109;69;76,45;76,45;36,7;29,9;29,9;;;
taxe_grille_2x3,txt;0.03;0,0;0,0;10;10;10;10;0;0;0;;;
taxe_grille_5x6,txt;0.004;1,0;0,3;38;34;32,63;32,63;10,5;14,1;14,1;;;
taxe_grille_6x10,txt;0.018;2,8;0,5;39;34;37;37;12,8;5,1;5,1;;;
taxe_grille_6x11,txt;0.062;6,0;0,9;86;48;68;68;44,2;20,9;20,9;;;
taxe_grille_6x7,txt;0.326;2,5;0,4;34;31;31;31;8,8;8,8;8,8;;;
taxe_grille_6x8,txt;0.786;2,9;0,4;37;35;35;35;5,4;5,4;5,4;;;
taxe_grille_6x9,txt;0.18;3,2;0,5;39;36;30,46;30,46;7,7;21,9;21,9;;;
taxe_grille_7x10,txt;0.212;6,2;1,0;77;67;69,82;69,82;13;9,3;9,3;;;
taxe_grille_7x11,txt;0.416;12,8;1,4;105;88;92,69;92,69;16,2;11,7;11,7;;;
taxe_grille_7x8,txt;0.248;4,9;0,7;42;42;39;39;0;7,1;7,1;;;
taxe_grille_7x9,txt;0.694;4,9;0,8;58;47;48;48;19;17,2;17,2;;;
taxe_grille_8x10,txt;0.316;19,0;1,9;35;35;35;35;0;0;0;;;
taxe_grille_8x11,txt;0.677;40,6;3,4;79;42;61;61;46,8;22,8;22,8;;;
taxe_grille_8x12,txt;0.354;20,3;2,6;99;89;89;89;10,1;10,1;10,1;;;
taxe_grille_8x13,txt;10.984;40,8;3,5;64;51;51;51;20,3;20,3;20,3;;;
taxe_grille_8x14,txt;4.931;41,4;3,8;50;45;46;46;10;8;8;;;
taxe_grille_8x9,txt;1.172;23,9;2,3;30;30;29,73;29,73;0;0,9;0,9;;;
taxe_grille_9x10,txt;2.18;49,2;4,1;67;55;58;58;17,9;13,4;13,4;;;
taxe_grille_9x11,txt;0.328;47,1;4,4;79;67;67;67;15,2;15,2;15,2;;;
taxe_grille_9x12,txt;1.127;72,0;6,2;140;132;133;133;5,7;5;5;;;
taxe_grille_9x13,txt;0.713;89,1;7,6;176;146;147,61;147,61;17;16,1;16,1;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
