instance;optimal;time;heur_time;value;heur_value;heur_gap
taxe_grille_10x10.txt;true;4.696;7.525000095367432;97.0;90.0;7.2
taxe_grille_10x5.txt;true;0.267;0.9079999923706055;136.0;128.0;5.9
taxe_grille_10x6.txt;true;0.338;1.374000072479248;90.0;89.0;1.1
taxe_grille_10x7.txt;true;3.078;2.186000108718872;115.0;98.47664;14.4
taxe_grille_10x8.txt;true;0.55;2.572999954223633;69.0;66.0;4.3
taxe_grille_10x9.txt;true;16.679;3.614000082015991;109.0;76.45455;29.9
taxe_grille_2x3.txt;true;0.006;0.010999917984008789;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.006;0.024000167846679688;9.0;22.30769;-147.9
taxe_grille_4x5.txt;true;0.018;0.06100010871887207;18.0;46.9;-160.6
taxe_grille_5x6.txt;true;0.048;0.32400012016296387;38.0;32.625;14.1
taxe_grille_6x10.txt;true;0.275;0.5320000648498535;39.0;37.0;5.1
taxe_grille_6x11.txt;true;0.6;0.8550000190734863;86.0;68.0;20.9
taxe_grille_6x7.txt;true;0.178;0.4119999408721924;34.0;31.0;8.8
taxe_grille_6x8.txt;true;0.212;0.4090001583099365;37.0;35.0;5.4
taxe_grille_6x9.txt;true;0.382;0.5109999179840088;39.0;30.45679;21.9
taxe_grille_7x10.txt;true;0.268;0.9679999351501465;77.0;69.81818;9.3
taxe_grille_7x11.txt;true;0.674;1.4149999618530273;105.0;92.69136;11.7
taxe_grille_7x8.txt;true;0.243;0.7289998531341553;42.0;39.0;7.1
taxe_grille_7x9.txt;true;0.611;0.8009998798370361;58.0;48.0;17.2
taxe_grille_8x10.txt;true;0.301;1.931999921798706;35.0;35.0;0.0
taxe_grille_8x11.txt;true;9.926;3.3519999980926514;79.0;61.0;22.8
taxe_grille_8x12.txt;true;5.025;2.554999828338623;99.0;89.0;10.1
taxe_grille_8x13.txt;true;1.099;3.5339999198913574;64.0;51.0;20.3
taxe_grille_8x14.txt;true;2.227;3.8410000801086426;50.0;46.0;8.0
taxe_grille_8x9.txt;true;0.34;2.309000015258789;30.0;29.73333;0.9
taxe_grille_9x10.txt;true;1.108;4.074999809265137;67.0;58.0;13.4
taxe_grille_9x11.txt;true;0.761;4.357000112533569;79.0;67.0;15.2
taxe_grille_9x12.txt;true;1.735;6.223999977111816;140.0;133.0;5.0
taxe_grille_9x13.txt;true;27.717;7.577999830245972;176.0;147.61404;16.1
