instance;optimal;time;heur_time;value;heur_value;heur_gap
taxe_grille_10x10.txt;true;7.582;1.686;97.0;88.0;90.7
taxe_grille_10x5.txt;true;1.101;0.531;136.0;128.0;94.1
taxe_grille_10x6.txt;true;1.21;0.634;90.0;86.0;95.6
taxe_grille_10x7.txt;true;5.146;1.0150000000000001;115.00000000000001;97.0;84.3
taxe_grille_10x8.txt;true;1.445;0.985;69.0;65.0;94.2
taxe_grille_10x9.txt;true;14.722;1.616;109.00000001977071;70.0;64.2
taxe_grille_2x3.txt;true;0.025;0.023;10.0;10.0;100.0
taxe_grille_3x4.txt;true;0.028;0.041;9.0;9.0;100.0
taxe_grille_4x5.txt;true;0.061;0.062;18.0;17.0;94.4
taxe_grille_5x6.txt;true;0.228;0.125;38.0;34.0;89.5
taxe_grille_6x10.txt;true;0.718;0.466;39.00000004862858;34.0;87.2
taxe_grille_6x11.txt;true;1.731;0.5569999999999999;86.0;65.0;75.6
taxe_grille_6x7.txt;true;0.347;0.23299999999999998;34.0;31.0;91.2
taxe_grille_6x8.txt;true;0.893;0.322;36.99999999999999;35.0;94.6
taxe_grille_6x9.txt;true;1.234;0.33799999999999997;39.0;36.0;92.3
taxe_grille_7x10.txt;true;0.756;0.605;77.0;64.0;83.1
taxe_grille_7x11.txt;true;1.559;0.647;105.0;85.0;81.0
taxe_grille_7x8.txt;true;0.957;0.437;42.0;42.0;100.0
taxe_grille_7x9.txt;true;1.524;0.54;58.0;51.0;87.9
taxe_grille_8x10.txt;true;0.851;0.7829999999999999;35.0;34.0;97.1
taxe_grille_8x11.txt;true;27.499;1.023;79.00000000000006;59.0;74.7
taxe_grille_8x12.txt;true;12.864;1.045;99.0;89.0;89.9
taxe_grille_8x13.txt;true;2.473;0.82;64.00000000152292;46.0;71.9
taxe_grille_8x14.txt;true;3.654;1.083;50.0;47.0;94.0
taxe_grille_8x9.txt;true;0.914;0.471;30.0;30.0;100.0
taxe_grille_9x10.txt;true;1.171;0.726;67.0;55.0;82.1
taxe_grille_9x11.txt;true;1.971;0.8920000000000001;79.0;67.0;84.8
taxe_grille_9x12.txt;true;2.95;1.024;140.0;133.0;95.0
taxe_grille_9x13.txt;true;58.759;1.6820000000000002;176.0;146.0;83.0
