instance;optimal;time;heur_time;value;heur_value;heur_gap
taxe_grille_10x10.txt;true;4.747;0.612;97.0;88.0;9.3
taxe_grille_10x5.txt;true;0.249;0.185;136.0;128.0;5.9
taxe_grille_10x6.txt;true;0.391;0.256;90.0;86.0;4.4
taxe_grille_10x7.txt;true;2.301;0.33899999999999997;115.0;97.0;15.7
taxe_grille_10x8.txt;true;0.47;0.434;69.0;65.0;5.8
taxe_grille_10x9.txt;true;9.101;0.521;109.0;69.0;36.7
taxe_grille_2x3.txt;true;0.007;0.005;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.008;0.007;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.016;0.02;18.0;17.0;5.6
taxe_grille_5x6.txt;true;0.071;0.039;38.0;34.0;10.5
taxe_grille_6x10.txt;true;0.24;0.13;39.0;34.0;12.8
taxe_grille_6x11.txt;true;0.402;0.158;86.0;48.0;44.2
taxe_grille_6x7.txt;true;0.13;0.054000000000000006;34.0;31.0;8.8
taxe_grille_6x8.txt;true;0.234;0.072;37.0;35.0;5.4
taxe_grille_6x9.txt;true;0.281;0.087;39.0;36.0;7.7
taxe_grille_7x10.txt;true;0.26;0.22499999999999998;77.0;67.0;13.0
taxe_grille_7x11.txt;true;0.435;0.227;105.0;88.0;16.2
taxe_grille_7x8.txt;true;0.262;0.135;42.0;42.0;0.0
taxe_grille_7x9.txt;true;0.589;0.16899999999999998;58.0;47.0;19.0
taxe_grille_8x10.txt;true;0.253;0.265;35.0;35.0;0.0
taxe_grille_8x11.txt;true;11.058;0.44299999999999995;79.0;42.0;46.8
taxe_grille_8x12.txt;true;3.097;0.44499999999999995;99.0;89.0;10.1
taxe_grille_8x13.txt;true;1.212;0.484;64.0;51.0;20.3
taxe_grille_8x14.txt;true;1.958;0.56;50.0;45.0;10.0
taxe_grille_8x9.txt;true;0.533;0.257;30.0;30.0;0.0
taxe_grille_9x10.txt;true;1.768;0.481;67.0;55.0;17.9
taxe_grille_9x11.txt;true;1.566;0.509;79.0;67.0;15.2
taxe_grille_9x12.txt;true;1.859;0.632;140.0;132.0;5.7
taxe_grille_9x13.txt;true;20.765;0.849;176.0;146.0;17.0
