instance;optimal;time;heur_time;value;heur_value;heur_gap
taxe_grille_10x10.txt;true;5.32;0.764;97.0;88.0;9.3
taxe_grille_10x5.txt;true;0.528;0.233;136.0;128.0;5.9
taxe_grille_10x6.txt;true;0.532;0.262;90.0;86.0;4.4
taxe_grille_10x7.txt;true;3.485;0.358;115.0;97.0;15.7
taxe_grille_10x8.txt;true;0.581;0.46199999999999997;69.0;65.0;5.8
taxe_grille_10x9.txt;true;10.058;0.687;109.0;70.0;35.8
taxe_grille_2x3.txt;true;0.009;0.009;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.013;0.017;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.036;0.041;18.0;17.0;5.6
taxe_grille_5x6.txt;true;0.105;0.062;38.0;34.0;10.5
taxe_grille_6x10.txt;true;0.332;0.187;39.0;34.0;12.8
taxe_grille_6x11.txt;true;0.814;0.187;86.0;65.0;24.4
taxe_grille_6x7.txt;true;0.142;0.076;34.0;31.0;8.8
taxe_grille_6x8.txt;true;0.401;0.092;37.0;35.0;5.4
taxe_grille_6x9.txt;true;0.625;0.14;39.0;36.0;7.7
taxe_grille_7x10.txt;true;0.297;0.288;77.0;64.0;16.9
taxe_grille_7x11.txt;true;0.781;0.269;105.0;85.0;19.0
taxe_grille_7x8.txt;true;0.378;0.187;42.0;42.0;0.0
taxe_grille_7x9.txt;true;0.812;0.219;58.0;51.0;12.1
taxe_grille_8x10.txt;true;0.347;0.313;35.0;34.0;2.9
taxe_grille_8x11.txt;true;18.802;0.499;79.0;59.0;25.3
taxe_grille_8x12.txt;true;8.995;0.531;99.0;89.0;10.1
taxe_grille_8x13.txt;true;1.817;0.562;64.0;46.0;28.1
taxe_grille_8x14.txt;true;2.936;0.702;50.0;47.0;6.0
taxe_grille_8x9.txt;true;0.797;0.265;30.0;30.0;0.0
taxe_grille_9x10.txt;true;1.247;0.48400000000000004;67.0;55.0;17.9
taxe_grille_9x11.txt;true;1.781;0.6819999999999999;79.0;67.0;15.2
taxe_grille_9x12.txt;true;2.219;0.734;140.0;133.0;5.0
taxe_grille_9x13.txt;true;43.635;0.859;176.0;146.0;17.0
