instance;optimal;time;heur_time;value;heur_value;heur_gap
taxe_grille_10x10.txt;true;4.379;0.498;97.0;88.0;9.3
taxe_grille_10x5.txt;true;0.417;0.182;136.0;128.0;5.9
taxe_grille_10x6.txt;true;0.536;0.272;90.0;86.0;4.4
taxe_grille_10x7.txt;true;3.334;0.326;115.0;97.0;15.7
taxe_grille_10x8.txt;true;0.566;0.331;69.0;65.0;5.8
taxe_grille_10x9.txt;true;8.609;0.46399999999999997;109.0;70.0;35.8
taxe_grille_2x3.txt;true;0.009;0.008;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.013;0.016;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.026;0.031;18.0;17.0;5.6
taxe_grille_5x6.txt;true;0.081;0.05;38.0;34.0;10.5
taxe_grille_6x10.txt;true;0.331;0.154;39.0;34.0;12.8
taxe_grille_6x11.txt;true;0.711;0.197;86.0;65.0;24.4
taxe_grille_6x7.txt;true;0.143;0.07100000000000001;34.0;31.0;8.8
taxe_grille_6x8.txt;true;0.377;0.101;37.0;35.0;5.4
taxe_grille_6x9.txt;true;0.604;0.118;39.0;36.0;7.7
taxe_grille_7x10.txt;true;0.282;0.277;77.0;64.0;16.9
taxe_grille_7x11.txt;true;0.725;0.288;105.0;85.0;19.0
taxe_grille_7x8.txt;true;0.353;0.182;42.0;42.0;0.0
taxe_grille_7x9.txt;true;0.714;0.192;58.0;51.0;12.1
taxe_grille_8x10.txt;true;0.287;0.23500000000000001;35.0;34.0;2.9
taxe_grille_8x11.txt;true;18.463;0.373;79.0;59.0;25.3
taxe_grille_8x12.txt;true;8.765;0.396;99.0;89.0;10.1
taxe_grille_8x13.txt;true;1.736;0.465;64.0;46.0;28.1
taxe_grille_8x14.txt;true;2.82;0.464;50.0;47.0;6.0
taxe_grille_8x9.txt;true;0.774;0.247;30.0;30.0;0.0
taxe_grille_9x10.txt;true;1.174;0.389;67.0;55.0;17.9
taxe_grille_9x11.txt;true;1.717;0.49;79.0;67.0;15.2
taxe_grille_9x12.txt;true;2.173;0.47700000000000004;140.0;133.0;5.0
taxe_grille_9x13.txt;true;43.92;0.601;176.0;146.0;17.0
