instance;optimal;time;heur_time;value;heur_value;heur_gap
taxe_grille_10x10.txt;true;4.775;0.5820000000000001;97.0;88.0;90.7
taxe_grille_10x5.txt;true;0.236;0.16799999999999998;136.0;128.0;94.1
taxe_grille_10x6.txt;true;0.394;0.245;90.0;86.0;95.6
taxe_grille_10x7.txt;true;2.097;0.31;115.0;97.0;84.3
taxe_grille_10x8.txt;true;0.444;0.429;69.0;65.0;94.2
taxe_grille_10x9.txt;true;9.888;0.597;109.0;69.0;63.3
taxe_grille_2x3.txt;true;0.005;0.03;10.0;10.0;100.0
taxe_grille_3x4.txt;true;0.006;0.009999999999999998;9.0;9.0;100.0
taxe_grille_4x5.txt;true;0.066;0.045;18.0;17.0;94.4
taxe_grille_5x6.txt;true;0.086;0.039;38.0;34.0;89.5
taxe_grille_6x10.txt;true;0.314;0.14700000000000002;39.0;34.0;87.2
taxe_grille_6x11.txt;true;0.417;0.149;86.0;48.0;55.8
taxe_grille_6x7.txt;true;0.118;0.061;34.0;31.0;91.2
taxe_grille_6x8.txt;true;0.247;0.078;37.0;35.0;94.6
taxe_grille_6x9.txt;true;0.334;0.093;39.0;36.0;92.3
taxe_grille_7x10.txt;true;0.268;0.221;77.0;67.0;87.0
taxe_grille_7x11.txt;true;0.499;0.253;105.0;88.0;83.8
taxe_grille_7x8.txt;true;0.269;0.135;42.0;42.0;100.0
taxe_grille_7x9.txt;true;0.514;0.175;58.0;47.0;81.0
taxe_grille_8x10.txt;true;0.272;0.279;35.0;35.0;100.0
taxe_grille_8x11.txt;true;11.926;0.505;79.0;42.0;53.2
taxe_grille_8x12.txt;true;3.182;0.46399999999999997;99.0;89.0;89.9
taxe_grille_8x13.txt;true;1.337;0.503;64.0;51.0;79.7
taxe_grille_8x14.txt;true;2.106;0.568;50.0;45.0;90.0
taxe_grille_8x9.txt;true;0.552;0.256;30.0;30.0;100.0
taxe_grille_9x10.txt;true;1.895;0.516;67.0;55.0;82.1
taxe_grille_9x11.txt;true;1.836;0.5820000000000001;79.0;67.0;84.8
taxe_grille_9x12.txt;true;2.116;0.627;140.0;132.0;94.3
taxe_grille_9x13.txt;true;20.917;0.7999999999999999;176.0;146.0;83.0
