instance;optimal;time;value;bound;gap
taxe_grille_10x10.txt;true;4.705;97.0;97.0078732190238;8.116720643077095e-5
taxe_grille_10x5.txt;true;0.262;136.0;136.0;0.0
taxe_grille_10x6.txt;true;0.457;90.0;90.0;0.0
taxe_grille_10x7.txt;true;2.133;115.0;115.0;0.0
taxe_grille_10x8.txt;true;0.538;69.0;69.0;0.0
taxe_grille_10x9.txt;true;5.849;109.0;109.00552610159441;5.069817976520652e-5
taxe_grille_2x3.txt;true;0.011;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.012;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.03;18.0;18.0;0.0
taxe_grille_5x6.txt;true;0.06;38.0;38.0;0.0
taxe_grille_6x10.txt;true;0.316;39.0;39.00000004245949;0.0
taxe_grille_6x11.txt;true;0.868;86.0;86.0;0.0
taxe_grille_6x7.txt;true;0.154;34.0;34.0;0.0
taxe_grille_6x8.txt;true;0.2;37.0;37.0;0.0
taxe_grille_6x9.txt;true;0.349;39.0;39.0;0.0
taxe_grille_7x10.txt;true;0.225;77.0;77.0;0.0
taxe_grille_7x11.txt;true;0.517;105.0;105.0;0.0
taxe_grille_7x8.txt;true;0.272;42.0;42.0;0.0
taxe_grille_7x9.txt;true;0.583;58.0;58.0;0.0
taxe_grille_8x10.txt;true;0.283;35.0;35.0;0.0
taxe_grille_8x11.txt;true;13.349;79.0;78.99999999999989;0.0
taxe_grille_8x12.txt;true;6.399;99.0;99.0;0.0
taxe_grille_8x13.txt;true;1.772;64.0;64.0;0.0
taxe_grille_8x14.txt;true;3.222;50.0;50.0;0.0
taxe_grille_8x9.txt;true;0.682;30.0;30.0;0.0
taxe_grille_9x10.txt;true;1.179;67.0;67.0;0.0
taxe_grille_9x11.txt;true;1.047;79.0;79.0;0.0
taxe_grille_9x12.txt;true;2.207;140.0;140.0;0.0
taxe_grille_9x13.txt;true;49.956;176.0;176.01702348885405;9.672436848951483e-5
