instance;optimal;time;value;bound;gap
taxe_grille_10x10.txt;true;10.262;97.0;97.00812688504352;8.378232003623999e-5
taxe_grille_10x5.txt;true;0.461;136.0;136.0;0.0
taxe_grille_10x6.txt;true;0.807;90.0;90.00000000000001;0.0
taxe_grille_10x7.txt;true;4.012;115.0;115.0;0.0
taxe_grille_10x8.txt;true;0.92;69.0;69.0;0.0
taxe_grille_10x9.txt;true;7.195;109.0;109.0;0.0
taxe_grille_2x3.txt;true;0.023;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.029;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.063;18.0;18.0;0.0
taxe_grille_5x6.txt;true;0.169;38.0;38.0;0.0
taxe_grille_6x10.txt;true;0.457;39.0;39.0;0.0
taxe_grille_6x11.txt;true;0.724;86.0;86.0;0.0
taxe_grille_6x7.txt;true;0.392;34.0;34.0;0.0
taxe_grille_6x8.txt;true;0.368;37.0;37.0;0.0
taxe_grille_6x9.txt;true;1.026;39.0;39.0;0.0
taxe_grille_7x10.txt;true;0.746;77.0;77.0;0.0
taxe_grille_7x11.txt;true;1.129;105.0;105.00000000000001;0.0
taxe_grille_7x8.txt;true;0.245;42.0;42.0;0.0
taxe_grille_7x9.txt;true;1.485;58.0;58.0;0.0
taxe_grille_8x10.txt;true;0.775;35.0;35.0;0.0
taxe_grille_8x11.txt;true;19.265;79.0;79.00000000000006;0.0
taxe_grille_8x12.txt;true;6.326;99.0;99.00222249660453;2.2449460651666536e-5
taxe_grille_8x13.txt;true;2.653;64.0;64.0;0.0
taxe_grille_8x14.txt;true;5.425;50.0;50.00000000000001;0.0
taxe_grille_8x9.txt;true;0.994;30.0;30.000000000000007;0.0
taxe_grille_9x10.txt;true;1.523;67.0;67.0;0.0
taxe_grille_9x11.txt;true;1.178;79.0;79.0;0.0
taxe_grille_9x12.txt;true;3.275;140.0;140.0;0.0
taxe_grille_9x13.txt;true;51.979;176.0;176.0146996211789;8.352057488001889e-5
