instance;optimal;time;value;bound;gap
taxe_grille_10x10.txt;true;5.406;97.0;97.0;0.0
taxe_grille_10x5.txt;true;0.581;136.0;136.0;0.0
taxe_grille_10x6.txt;true;0.567;90.0;90.0;0.0
taxe_grille_10x7.txt;true;4.074;115.00000000000001;115.00000000000001;0.0
taxe_grille_10x8.txt;true;0.676;69.0;69.0;0.0
taxe_grille_10x9.txt;true;10.659;109.00000001977071;109.00410860773442;3.7693467550135055e-5
taxe_grille_2x3.txt;true;0.019;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.021;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.08;18.0;18.0;0.0
taxe_grille_5x6.txt;true;0.238;38.0;38.0;0.0
taxe_grille_6x10.txt;true;0.621;39.00000004862858;39.00000004862858;0.0
taxe_grille_6x11.txt;true;1.353;86.0;86.00659703133589;7.670966669626048e-5
taxe_grille_6x7.txt;true;0.344;34.0;34.0;0.0
taxe_grille_6x8.txt;true;0.599;36.99999999999999;36.99999999999999;0.0
taxe_grille_6x9.txt;true;0.937;39.0;39.0;0.0
taxe_grille_7x10.txt;true;0.749;77.0;77.0;0.0
taxe_grille_7x11.txt;true;1.351;105.0;105.0;0.0
taxe_grille_7x8.txt;true;0.767;42.0;42.0;0.0
taxe_grille_7x9.txt;true;1.239;58.0;58.0;0.0
taxe_grille_8x10.txt;true;0.753;35.0;35.0;0.0
taxe_grille_8x11.txt;true;20.694;79.00000000000006;79.00540952557411;6.847500726639498e-5
taxe_grille_8x12.txt;true;9.658;99.0;99.00101112234582;1.021335702842758e-5
taxe_grille_8x13.txt;true;2.629;64.00000000152292;64.00000000152292;0.0
taxe_grille_8x14.txt;true;3.49;50.0;50.0;0.0
taxe_grille_8x9.txt;true;0.836;30.0;30.0;0.0
taxe_grille_9x10.txt;true;1.194;67.0;67.0;0.0
taxe_grille_9x11.txt;true;2.234;79.0;79.0;0.0
taxe_grille_9x12.txt;true;3.222;140.0;140.0;0.0
taxe_grille_9x13.txt;true;49.253;176.0;176.00461109380004;2.6199396591103126e-5
