instance;optimal;time;value;bound;gap
taxe_grille_10x10.txt;true;4.485;97.0;97.00902771508535;9.306922768394924e-5
taxe_grille_10x5.txt;true;0.27;136.0;136.0;0.0
taxe_grille_10x6.txt;true;0.428;90.0;90.0;0.0
taxe_grille_10x7.txt;true;2.677;115.0;115.00000000000001;0.0
taxe_grille_10x8.txt;true;0.47;69.0;69.0;0.0
taxe_grille_10x9.txt;true;11.41;109.0;109.00932533830635;8.555356244340644e-5
taxe_grille_2x3.txt;true;0.049;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.056;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.045;18.0;18.0;0.0
taxe_grille_5x6.txt;true;0.161;38.0;38.0;0.0
taxe_grille_6x10.txt;true;0.397;39.0;39.00000004862858;0.0
taxe_grille_6x11.txt;true;0.798;86.0;86.0;0.0
taxe_grille_6x7.txt;true;0.153;34.0;34.0;0.0
taxe_grille_6x8.txt;true;0.365;37.0;36.999999999999986;0.0
taxe_grille_6x9.txt;true;0.527;39.0;39.0;0.0
taxe_grille_7x10.txt;true;0.329;77.0;77.0;0.0
taxe_grille_7x11.txt;true;0.521;105.0;105.0;0.0
taxe_grille_7x8.txt;true;0.308;42.0;42.0;0.0
taxe_grille_7x9.txt;true;0.595;58.0;58.0;0.0
taxe_grille_8x10.txt;true;0.324;35.0;35.0;0.0
taxe_grille_8x11.txt;true;12.976;79.0;79.0;0.0
taxe_grille_8x12.txt;true;3.212;99.0;99.0;0.0
taxe_grille_8x13.txt;true;1.52;64.0;64.0;0.0
taxe_grille_8x14.txt;true;2.177;50.0;50.001196700417296;2.393400834587043e-5
taxe_grille_8x9.txt;true;0.573;30.0;30.0;0.0
taxe_grille_9x10.txt;true;2.038;67.0;67.0000000315458;0.0
taxe_grille_9x11.txt;true;1.685;79.0;79.0;0.0
taxe_grille_9x12.txt;true;1.895;140.0;140.0;0.0
taxe_grille_9x13.txt;true;21.726;176.0;176.00104029611708;5.910773392188223e-6
