instance;optimal;time;value;bound;gap
taxe_grille_10x10.txt;true;14.281;97.0;97.00639141370061;6.589086289284184e-5
taxe_grille_10x5.txt;true;1.173;136.0;136.0;0.0
taxe_grille_10x6.txt;true;0.816;90.0;90.0;0.0
taxe_grille_10x7.txt;true;7.285;115.0;115.00445874198891;3.877166946877156e-5
taxe_grille_10x8.txt;true;1.052;69.00000000000023;69.00000000000023;0.0
taxe_grille_10x9.txt;true;18.685;109.00000001400802;109.00000001400801;0.0
taxe_grille_2x3.txt;true;0.024;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.028;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.064;18.0;18.0;0.0
taxe_grille_5x6.txt;true;0.171;38.0;38.0;0.0
taxe_grille_6x10.txt;true;0.389;39.00000004898517;39.00000004898517;0.0
taxe_grille_6x11.txt;true;0.788;86.0;86.00182149362465;2.118015842609821e-5
taxe_grille_6x7.txt;true;0.304;34.0;34.0;0.0
taxe_grille_6x8.txt;true;0.288;37.00000289293525;37.00000289293525;0.0
taxe_grille_6x9.txt;true;0.362;39.0;39.0;0.0
taxe_grille_7x10.txt;true;0.351;77.0;77.0;0.0
taxe_grille_7x11.txt;true;0.825;105.0;105.0;0.0
taxe_grille_7x8.txt;true;0.362;42.0;42.0;0.0
taxe_grille_7x9.txt;true;0.815;58.0;58.00129294592983;2.2292171203986087e-5
taxe_grille_8x10.txt;true;0.38;35.0;35.0;0.0
taxe_grille_8x11.txt;true;24.198;79.0;79.00606124586854;7.672463124720614e-5
taxe_grille_8x12.txt;true;27.59;99.00000000000045;99.00296925083143;2.999243263605254e-5
taxe_grille_8x13.txt;true;2.412;64.0;64.0;0.0
taxe_grille_8x14.txt;true;3.818;50.0;50.0;0.0
taxe_grille_8x9.txt;true;0.728;30.0;30.0;0.0
taxe_grille_9x10.txt;true;1.87;67.0;67.0;0.0
taxe_grille_9x11.txt;true;2.628;79.00000000000009;79.00000000000009;0.0
taxe_grille_9x12.txt;true;4.97;140.0;140.0;0.0
taxe_grille_9x13.txt;true;194.675;175.99999999999983;176.017133004503;9.734661649520183e-5
